Figure	MajorContext	MinorContext
viio97543	['B', 'D', 'E', 'F', 'A-', 'C']	['G#', 'B', 'C#', 'D', 'F', 'A#']
vii97543	['B', 'D', 'E', 'F#', 'A', 'C']	['G#', 'B', 'C#', 'D#', 'F#', 'A#']
VII97543	['B', 'D#', 'E', 'F#', 'A', 'C']	['G', 'B', 'C', 'D', 'F', 'A']
VII+97543	['B', 'D#', 'E', 'F##', 'A', 'C']	['G', 'B', 'C', 'D#', 'F', 'A']
#io97543	['C#', 'E', 'F#', 'G', 'B-', 'D#']	['A#', 'C#', 'D#', 'E', 'G', 'B#']
#i97543	['C#', 'E', 'F#', 'G#', 'B#', 'D#']	['A#', 'C#', 'D#', 'E#', 'G#', 'B#']
#I97543	['C#', 'E#', 'F#', 'G#', 'B#', 'D#']	['A#', 'C##', 'D#', 'E#', 'G#', 'B#']
#I+97543	['C#', 'E#', 'F#', 'G##', 'B#', 'D#']	['A#', 'C##', 'D#', 'E##', 'G#', 'B#']
#iio97543	['D#', 'F#', 'G#', 'A', 'C', 'E#']	['B#', 'D#', 'E#', 'F#', 'A', 'C#']
#ii97543	['D#', 'F#', 'G#', 'A#', 'C#', 'E#']	['B#', 'D#', 'E#', 'F##', 'A#', 'C#']
#II97543	['D#', 'F##', 'G#', 'A#', 'C#', 'E#']	['B#', 'D##', 'E#', 'F##', 'A#', 'C#']
#II+97543	['D#', 'F##', 'G#', 'A##', 'C#', 'E#']	['B#', 'D##', 'E#', 'F###', 'A#', 'C#']
#iiio97543	['E#', 'G#', 'A#', 'B', 'D', 'F#']	['C#', 'E', 'F#', 'G', 'B-', 'D#']
#iii97543	['E#', 'G#', 'A#', 'B#', 'D#', 'F#']	['C#', 'E', 'F#', 'G#', 'B#', 'D#']
#III97543	['E#', 'G##', 'A#', 'B#', 'D#', 'F#']	['C#', 'E#', 'F#', 'G#', 'B#', 'D#']
#III+97543	['E#', 'G##', 'A#', 'B##', 'D#', 'F#']	['C#', 'E#', 'F#', 'G##', 'B#', 'D#']
#ivo97543	['F#', 'A', 'B#', 'C', 'E-', 'G#']	['D#', 'F#', 'G#', 'A', 'C', 'E#']
#iv97543	['F#', 'A', 'B#', 'C#', 'E#', 'G#']	['D#', 'F#', 'G#', 'A#', 'C#', 'E#']
#IV97543	['F#', 'A#', 'B#', 'C#', 'E#', 'G#']	['D#', 'F##', 'G#', 'A#', 'C#', 'E#']
#IV+97543	['F#', 'A#', 'B#', 'C##', 'E#', 'G#']	['D#', 'F##', 'G#', 'A##', 'C#', 'E#']
#vo97543	['G#', 'B', 'C#', 'D', 'F', 'A#']	['E#', 'G#', 'A#', 'B', 'D', 'F#']
#v97543	['G#', 'B', 'C#', 'D#', 'F#', 'A#']	['E#', 'G#', 'A#', 'B#', 'D#', 'F#']
#V97543	['G#', 'B#', 'C#', 'D#', 'F#', 'A#']	['E#', 'G##', 'A#', 'B#', 'D#', 'F#']
#V+97543	['G#', 'B#', 'C#', 'D##', 'F#', 'A#']	['E#', 'G##', 'A#', 'B##', 'D#', 'F#']
#vio97543	['A#', 'C#', 'D#', 'E', 'G', 'B#']	['F##', 'A#', 'B##', 'C#', 'E', 'G##']
#vi97543	['A#', 'C#', 'D#', 'E#', 'G#', 'B#']	['F##', 'A#', 'B##', 'C##', 'E##', 'G##']
#VI97543	['A#', 'C##', 'D#', 'E#', 'G#', 'B#']	['F#', 'A#', 'B#', 'C#', 'E#', 'G#']
#VI+97543	['A#', 'C##', 'D#', 'E##', 'G#', 'B#']	['F#', 'A#', 'B#', 'C##', 'E#', 'G#']
#viio97543	['B#', 'D#', 'E#', 'F#', 'A', 'C#']	['G##', 'B#', 'C##', 'D#', 'F#', 'A##']
#vii97543	['B#', 'D#', 'E#', 'F##', 'A#', 'C#']	['G##', 'B#', 'C##', 'D##', 'F##', 'A##']
#VII97543	['B#', 'D##', 'E#', 'F##', 'A#', 'C#']	['G#', 'B#', 'C#', 'D#', 'F#', 'A#']
#VII+97543	['B#', 'D##', 'E#', 'F###', 'A#', 'C#']	['G#', 'B#', 'C#', 'D##', 'F#', 'A#']
