Figure	MajorContext	MinorContext
#io9852	['C#', 'D#', 'G', 'C#', 'D#']	['A#', 'B#', 'E', 'A#', 'B#']
#i9852	['C#', 'D#', 'G#', 'C#', 'D#']	['A#', 'B#', 'E#', 'A#', 'B#']
#I9852	['C#', 'D#', 'G#', 'C#', 'D#']	['A#', 'B#', 'E#', 'A#', 'B#']
#I+9852	['C#', 'D#', 'G##', 'C#', 'D#']	['A#', 'B#', 'E##', 'A#', 'B#']
#iio9852	['D#', 'E#', 'A', 'D#', 'E#']	['B#', 'C#', 'F#', 'B#', 'C#']
#ii9852	['D#', 'E#', 'A#', 'D#', 'E#']	['B#', 'C#', 'F##', 'B#', 'C#']
#II9852	['D#', 'E#', 'A#', 'D#', 'E#']	['B#', 'C#', 'F##', 'B#', 'C#']
#II+9852	['D#', 'E#', 'A##', 'D#', 'E#']	['B#', 'C#', 'F###', 'B#', 'C#']
#iiio9852	['E#', 'F#', 'B', 'E#', 'F#']	['C#', 'D#', 'G', 'C#', 'D#']
#iii9852	['E#', 'F#', 'B#', 'E#', 'F#']	['C#', 'D#', 'G#', 'C#', 'D#']
#III9852	['E#', 'F#', 'B#', 'E#', 'F#']	['C#', 'D#', 'G#', 'C#', 'D#']
#III+9852	['E#', 'F#', 'B##', 'E#', 'F#']	['C#', 'D#', 'G##', 'C#', 'D#']
#ivo9852	['F#', 'G#', 'C', 'F#', 'G#']	['D#', 'E#', 'A', 'D#', 'E#']
#iv9852	['F#', 'G#', 'C#', 'F#', 'G#']	['D#', 'E#', 'A#', 'D#', 'E#']
#IV9852	['F#', 'G#', 'C#', 'F#', 'G#']	['D#', 'E#', 'A#', 'D#', 'E#']
#IV+9852	['F#', 'G#', 'C##', 'F#', 'G#']	['D#', 'E#', 'A##', 'D#', 'E#']
#vo9852	['G#', 'A#', 'D', 'G#', 'A#']	['E#', 'F#', 'B', 'E#', 'F#']
#v9852	['G#', 'A#', 'D#', 'G#', 'A#']	['E#', 'F#', 'B#', 'E#', 'F#']
#V9852	['G#', 'A#', 'D#', 'G#', 'A#']	['E#', 'F#', 'B#', 'E#', 'F#']
#V+9852	['G#', 'A#', 'D##', 'G#', 'A#']	['E#', 'F#', 'B##', 'E#', 'F#']
#vio9852	['A#', 'B#', 'E', 'A#', 'B#']	['F##', 'G##', 'C#', 'F##', 'G##']
#vi9852	['A#', 'B#', 'E#', 'A#', 'B#']	['F##', 'G##', 'C##', 'F##', 'G##']
#VI9852	['A#', 'B#', 'E#', 'A#', 'B#']	['F#', 'G#', 'C#', 'F#', 'G#']
#VI+9852	['A#', 'B#', 'E##', 'A#', 'B#']	['F#', 'G#', 'C##', 'F#', 'G#']
#viio9852	['B#', 'C#', 'F#', 'B#', 'C#']	['G##', 'A##', 'D#', 'G##', 'A##']
#vii9852	['B#', 'C#', 'F##', 'B#', 'C#']	['G##', 'A##', 'D##', 'G##', 'A##']
#VII9852	['B#', 'C#', 'F##', 'B#', 'C#']	['G#', 'A#', 'D#', 'G#', 'A#']
#VII+9852	['B#', 'C#', 'F###', 'B#', 'C#']	['G#', 'A#', 'D##', 'G#', 'A#']
