Figure	MajorContext	MinorContext
#i86532	['E', 'F#', 'G#', 'B#', 'C#', 'E#']	['C#', 'D#', 'E#', 'G#', 'A#', 'C#']
#I86532	['E#', 'F#', 'G#', 'B#', 'C#', 'E#']	['C##', 'D#', 'E#', 'G#', 'A#', 'C#']
#I+86532	['E#', 'F#', 'G##', 'B#', 'C#', 'E#']	['C##', 'D#', 'E##', 'G#', 'A#', 'C#']
#iio86532	['F#', 'G#', 'A', 'C', 'D#', 'F#']	['D#', 'E#', 'F#', 'A', 'B#', 'D#']
#ii86532	['F#', 'G#', 'A#', 'C#', 'D#', 'F#']	['D#', 'E#', 'F##', 'A#', 'B#', 'D#']
#II86532	['F##', 'G#', 'A#', 'C#', 'D#', 'F#']	['D##', 'E#', 'F##', 'A#', 'B#', 'D#']
#II+86532	['F##', 'G#', 'A##', 'C#', 'D#', 'F#']	['D##', 'E#', 'F###', 'A#', 'B#', 'D#']
#iiio86532	['G#', 'A#', 'B', 'D', 'E#', 'G#']	['E', 'F#', 'G', 'B-', 'C#', 'E#']
#iii86532	['G#', 'A#', 'B#', 'D#', 'E#', 'G#']	['E', 'F#', 'G#', 'B#', 'C#', 'E#']
#III86532	['G##', 'A#', 'B#', 'D#', 'E#', 'G#']	['E#', 'F#', 'G#', 'B#', 'C#', 'E#']
#III+86532	['G##', 'A#', 'B##', 'D#', 'E#', 'G#']	['E#', 'F#', 'G##', 'B#', 'C#', 'E#']
#ivo86532	['A', 'B#', 'C', 'E-', 'F#', 'A#']	['F#', 'G#', 'A', 'C', 'D#', 'F#']
#iv86532	['A', 'B#', 'C#', 'E#', 'F#', 'A#']	['F#', 'G#', 'A#', 'C#', 'D#', 'F#']
#IV86532	['A#', 'B#', 'C#', 'E#', 'F#', 'A#']	['F##', 'G#', 'A#', 'C#', 'D#', 'F#']
#IV+86532	['A#', 'B#', 'C##', 'E#', 'F#', 'A#']	['F##', 'G#', 'A##', 'C#', 'D#', 'F#']
#vo86532	['B', 'C#', 'D', 'F', 'G#', 'B#']	['G#', 'A#', 'B', 'D', 'E#', 'G#']
#v86532	['B', 'C#', 'D#', 'F#', 'G#', 'B#']	['G#', 'A#', 'B#', 'D#', 'E#', 'G#']
#V86532	['B#', 'C#', 'D#', 'F#', 'G#', 'B#']	['G##', 'A#', 'B#', 'D#', 'E#', 'G#']
#V+86532	['B#', 'C#', 'D##', 'F#', 'G#', 'B#']	['G##', 'A#', 'B##', 'D#', 'E#', 'G#']
#vio86532	['C#', 'D#', 'E', 'G', 'A#', 'C#']	['A#', 'B##', 'C#', 'E', 'F##', 'A##']
#vi86532	['C#', 'D#', 'E#', 'G#', 'A#', 'C#']	['A#', 'B##', 'C##', 'E##', 'F##', 'A##']
#VI86532	['C##', 'D#', 'E#', 'G#', 'A#', 'C#']	['A#', 'B#', 'C#', 'E#', 'F#', 'A#']
#VI+86532	['C##', 'D#', 'E##', 'G#', 'A#', 'C#']	['A#', 'B#', 'C##', 'E#', 'F#', 'A#']
#viio86532	['D#', 'E#', 'F#', 'A', 'B#', 'D#']	['B#', 'C##', 'D#', 'F#', 'G##', 'B##']
#vii86532	['D#', 'E#', 'F##', 'A#', 'B#', 'D#']	['B#', 'C##', 'D##', 'F##', 'G##', 'B##']
#VII86532	['D##', 'E#', 'F##', 'A#', 'B#', 'D#']	['B#', 'C#', 'D#', 'F#', 'G#', 'B#']
#VII+86532	['D##', 'E#', 'F###', 'A#', 'B#', 'D#']	['B#', 'C#', 'D##', 'F#', 'G#', 'B#']
