mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	4	1		C.#ivo7	C	I		#ivo7		#iv	o	7					o7	0	0	6, 3, 0, -3		6	6
3	3	0	0	3/4	4	1		IV7	C	I		IV7		IV		7					Mm7	0	0	-1, 3, 0, -3		-1	-1
5	5	0	0	3/4	4	1		vi64	C	I		vi64		vi		64					m	0	0	4, 3, 0		3	4
6	6	0	0	3/4	4	1		V7/V	C	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
6	6	1/2	1/2	3/4	4	1		V2/V	C	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
7	7	0	0	3/4	4	1		V6(#7)	C	I		V6(#7)		V		6	#7				M	0	0	5, 2, 6		1	5
7	7	1/4	1/4	3/4	4	1		V6	C	I		V6		V		6					M	0	0	5, 2, 1		1	5
7	7	1/2	1/2	3/4	4	1		V43/V	C	I		V43/V		V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
8	8	0	0	3/4	4	1		ii%43	C	I		ii%43		ii	%	43					%7	0	0	-4, 0, 2, -1		2	-4
9	9	0	0	3/4	4	1		viio2	C	I		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
11	11	0	0	3/4	4	1		bVII2	C	I		bVII2		bVII		2					Mm7	0	0	-4, -2, 2, -1		-2	-4
12	12	0	0	3/4	4	1		bIII6(4)	C	I		bIII6(4)		bIII		6	4				M	0	0	3, -2, -3		-3	3
12	12	1/2	1/2	3/4	4	1		bIII6	C	I		bIII6		bIII		6					M	0	0	1, -2, -3		-3	1
13	13	1/2	1/2	3/4	4	1		viio43	C	I		viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
14	14	0	0	3/4	4	1		iiio7(2)	C	I		iiio7(2)		iii	o	7	2				o7	0	0	-1, 1, -2, -5		4	-1
15	15	0	0	3/4	4	1		iiio7	C	I		iiio7		iii	o	7					o7	0	0	4, 1, -2, -5		4	4
16	16	0	0	3/4	4	1		V65/IV	C	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
17	17	0	0	3/4	4	1		i6	C	I		i6		i		6					m	0	0	-3, 1, 0		0	-3
18	18	0	0	3/4	4	1		II7(b5)	C	I		II7(b5)		II		7	b5				Mm7	0	0	2, 6, -4, 0		2	2
18	18	1/2	1/2	3/4	4	1		II7(4)	C	I		II7(4)		II		7	4				Mm7	0	0	2, 1, 3, 0		2	2
19	19	0	0	3/4	4	1		ii%7	C	I		ii%7		ii	%	7					%7	0	0	2, -1, -4, 0		2	2
20	20	0	0	3/4	4	1		viio65	C	I		viio65		vii	o	65					o7	0	0	2, -1, -4, 5		5	2
21	21	0	0	3/4	4	1		iv64	C	I		iv64		iv		64					m	0	0	0, -1, -4		-1	0
22	22	0	0	3/4	4	1		viio7	C	I		viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
29	29	0	0	3/4	4	1		V65	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
30	29	0	3/4	4/4	4	1		I	C	I		I		I							M	0	0	0, 4, 1		0	0
31	30	0	0	4/4	4	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
33	32	1/2	1/2	4/4	4	1		V7(+9)	C	I		V7(+9)		V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
35	34	1/4	1/4	4/4	4	1		viio	C	I		viio		vii	o						o	0	0	5, 2, -1		5	5
35	34	1/2	1/2	4/4	4	1		I	C	I		I		I							M	0	0	0, 4, 1		0	0
35	34	3/4	3/4	4/4	4	1		ii	C	I		ii		ii							m	0	0	2, -1, 3		2	2
36	35	0	0	4/4	4	1		V7/ii	C	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
41	40	1/4	1/4	4/4	4	1		#viio/ii	C	I		#viio/ii		#vii	o			ii			o	0	0	7, 4, 1		7	7
41	40	1/2	1/2	4/4	4	1		ii	C	I		ii		ii							m	0	0	2, -1, 3		2	2
42	41	0	0	4/4	4	1		V7/IV	C	I		V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
43	42	0	0	4/4	4	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
44	43	0	0	4/4	4	1		I[I6	C	I	I	I6		I		6					M	0	0	4, 1, 0		0	4
45	44	0	0	4/4	4	1		IV	C	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
45	44	1/2	1/2	4/4	4	1		viio6	C	I	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
46	45	0	0	4/4	4	1		I	C	I	I	I		I							M	0	0	0, 4, 1		0	0
46	45	1/4	1/4	4/4	4	1		I6	C	I	I	I6		I		6					M	0	0	4, 1, 0		0	4
47	46	0	0	4/4	4	1		IV	C	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
47	46	1/2	1/2	4/4	4	1		viio6	C	I	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
48	47	0	0	4/4	4	1		I]	C	I	I	I		I							M	0	0	0, 4, 1		0	0
48	47	1/2	1/2	4/4	4	1		V7/ii	C	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
49	48	0	0	4/4	4	1		ii	C	I		ii		ii							m	0	0	2, -1, 3		2	2
49	48	1/2	1/2	4/4	4	1		V7/ii	C	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
50	49	0	0	4/4	4	1		ii64	C	I		ii64		ii		64					m	0	0	3, 2, -1		2	3
50	49	1/4	1/4	4/4	4	1		ii	C	I		ii		ii							m	0	0	2, -1, 3		2	2
50	49	1/2	1/2	4/4	4	1		V64	C	I		V64		V		64					M	0	0	2, 1, 5		1	2
50	49	3/4	3/4	4/4	4	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
51	50	0	0	4/4	4	1		I64	C	I		I64		I		64					M	0	0	1, 0, 4		0	1
51	50	1/4	1/4	4/4	4	1		I	C	I		I		I							M	0	0	0, 4, 1		0	0
51	50	1/2	1/2	4/4	4	1		IV	C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
52	51	0	0	4/4	4	1		V[I64	C	I	V	I64		I		64					M	0	0	1, 0, 4		0	1
52	51	1/2	1/2	4/4	4	1		V7	C	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
53	52	0	0	4/4	4	1		I64	C	I	V	I64		I		64					M	0	0	1, 0, 4		0	1
53	52	3/4	3/4	4/4	4	1		V7]	C	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
54	53	0	0	4/4	4	1		I	C	I		I		I							M	0	0	0, 4, 1		0	0
54	53	1/4	1/4	4/4	4	1		I6	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
54	53	1/2	1/2	4/4	4	1		I64	C	I		I64		I		64					M	0	0	1, 0, 4		0	1
54	53	3/4	3/4	4/4	4	1		I	C	I		I		I							M	0	0	0, 4, 1		0	0
55	54	0	0	4/4	4	1		IV	C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
55	54	1/4	1/4	4/4	4	1		IV6	C	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
55	54	3/4	3/4	4/4	4	1		IV	C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
56	55	0	0	4/4	4	1		V(64)	C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
56	55	1/2	1/2	4/4	4	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
57	56	0	0	4/4	4	1		I\\	C	I		I		I						\\	M	0	0	0, 4, 1		0	0
58	57	1/4	1/4	4/4	4	1		V7(6#4)	C	I		V7(6#4)		V		7	6#4				Mm7	0	0	1, 5, 7, 4, -1		1	1
58	57	1/2	1/2	4/4	4	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
60	59	0	0	4/4	4	1		I	C	I		I		I							M	0	0	0, 4, 1		0	0
60	59	1/2	1/2	4/4	4	1		I6	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
61	60	0	0	4/4	4	1		V43	C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
61	60	1/2	1/2	4/4	4	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
62	61	0	0	4/4	4	1		I	C	I		I		I							M	0	0	0, 4, 1		0	0
62	61	1/2	1/2	4/4	4	1		I6	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
63	62	0	0	4/4	4	1		V43	C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
63	62	1/2	1/2	4/4	4	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
64	63	0	0	4/4	4	1		I	C	I		I		I							M	0	0	0, 4, 1		0	0
66	65	1/2	1/2	4/4	4	1		I6	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
66	65	3/4	3/4	4/4	4	1		viio7/V	C	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
67	66	0	0	4/4	4	1		ii(+2)	C	I		ii(+2)		ii			+2				m	0	0	2, -1, 3	4	2	2
67	66	1/2	1/2	4/4	4	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
68	67	0	0	4/4	4	1		I\\	C	I		I		I						\\	M	0	0	0, 4, 1		0	0
68	67	1/2	1/2	4/4	4	1		viio7/V	C	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
69	68	0	0	4/4	4	1		ii(+2)	C	I		ii(+2)		ii			+2				m	0	0	2, -1, 3	4	2	2
69	68	1/2	1/2	4/4	4	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
70	69	0	0	4/4	4	1		I\\	C	I		I		I						\\	M	0	0	0, 4, 1		0	0
70	69	3/4	3/4	4/4	4	1		V.ii6	C	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
71	70	0	0	4/4	4	1		V43/ii	C	V		V43/ii		V		43		ii			Mm7	0	0	4, 1, 3, 7		3	4
71	70	1/4	1/4	4/4	4	1		#viio/ii	C	V		#viio/ii		#vii	o			ii			o	0	0	7, 4, 1		7	7
71	70	1/2	1/2	4/4	4	1		V7/ii	C	V		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
72	71	0	0	4/4	4	1		ii	C	V		ii		ii							m	0	0	2, -1, 3		2	2
