mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	3/4	4	1		c.i	c	i		i		i							m	1	1	0, -3, 1		0	0
2	1	0	0	3/4	4	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
2	1	1/2	1/2	3/4	4	1		III.V	c	III		V		V							M	1	0	1, 5, 2		1	1
3	2	0	0	3/4	4	1		I	c	III		I		I							M	1	0	0, 4, 1		0	0
3	2	1/2	1/2	3/4	4	1		IV6	c	III		IV6		IV		6					M	1	0	3, 0, -1		-1	3
4	3	0	0	3/4	4	1		I6	c	III		I6		I		6					M	1	0	4, 1, 0		0	4
4	3	1/2	1/2	3/4	4	1		viio65/V	c	III		viio65/V		vii	o	65		V			o7	1	0	3, 0, -3, 6		6	3
5	4	0	0	3/4	4	1		viio7/V	c	III		viio7/V		vii	o	7		V			o7	1	0	6, 3, 0, -3		6	6
5	4	1/4	1/4	3/4	4	1		V\\	c	III		V		V						\\	M	1	0	1, 5, 2		1	1
5	4	1/2	1/2	3/4	4	1		i.iv	c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
6	5	1/2	1/2	3/4	4	1		#viio6/iv	c	i		#viio6/iv		#vii	o	6		iv			o	1	1	1, -2, 4		4	1
7	6	0	0	3/4	4	1		iv6	c	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
7	6	1/2	1/2	3/4	4	1		ii%65	c	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
8	7	0	0	3/4	4	1		V(964)	c	i		V(964)		V			964				M	1	1	1, 0, -3	-4	1	1
8	7	1/4	1/4	3/4	4	1		V(64)	c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
8	7	1/2	1/2	3/4	4	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	8	0	0	3/4	4	1		i\\	c	i		i		i						\\	m	1	1	0, -3, 1		0	0
10	8	0	1/2	3/4	4	1		iv.V	c	iv		V		V							M	1	1	1, 5, 2		1	1
