mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	4	1		Bb.I		Bb	I		I		I								M	0	0	0, 4, 1		0	0
2	2	1/4	1/4	2/4	4	1		I6		Bb	I		I6		I		6						M	0	0	4, 1, 0		0	4
2	2	15/32	15/32	2/4	4	1		V		Bb	I		V		V								M	0	0	1, 5, 2		1	1
3	3	0	0	2/4	4	1		I		Bb	I		I		I								M	0	0	0, 4, 1		0	0
6	6	1/4	1/4	2/4	4	1		I6		Bb	I		I6		I		6						M	0	0	4, 1, 0		0	4
6	6	15/32	15/32	2/4	4	1		V		Bb	I		V		V								M	0	0	1, 5, 2		1	1
7	7	0	0	2/4	4	1		I		Bb	I		I		I								M	0	0	0, 4, 1		0	0
8	8	0	0	2/4	4	1		iii64	V6(6)	Bb	I		iii64		iii		64						m	0	0	5, 4, 1		4	5
8	8	1/4	1/4	2/4	4	1		V6		Bb	I		V6		V		6						M	0	0	5, 2, 1		1	5
9	9	0	0	2/4	4	1		#viio2/ii		Bb	I		#viio2/ii		#vii	o	2		ii				o7	0	0	-2, 7, 4, 1		7	-2
10	10	0	0	2/4	4	1		V7/ii		Bb	I		V7/ii		V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
10	10	1/4	1/4	2/4	4	1		V7(9)/ii		Bb	I		V7(9)/ii		V		7	9	ii				Mm7	0	0	3, 7, 4, 1	-2	3	3
10	10	15/32	15/32	2/4	4	1		V(64)/ii		Bb	I		V(64)/ii		V			64	ii				M	0	0	3, 2, -1		3	3
11	11	0	0	2/4	4	1		V7/ii		Bb	I		V7/ii		V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
11	11	7/32	7/32	2/4	4	1		V(64)/ii		Bb	I		V(64)/ii		V			64	ii				M	0	0	3, 2, -1		3	3
11	11	1/4	1/4	2/4	4	1		V7/ii		Bb	I		V7/ii		V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
12	12	0	0	2/4	4	1		#i.i64		Bb	#i		i64		i		64						m	0	1	1, 0, -3		0	1
13	13	0	0	2/4	4	1		#viio43		Bb	#i		#viio43		#vii	o	43						o7	0	1	-1, -4, 5, 2		5	-1
14	14	0	0	2/4	4	1		vo7		Bb	#i		vo7		v	o	7						o7	0	1	1, -2, -5, -8		1	1
15	15	0	0	2/4	4	1		#vio7		Bb	#i		#vio7		#vi	o	7						o7	0	1	3, 0, -3, -6		3	3
16	16	0	0	2/4	4	1		vo65		Bb	#i		vo65		v	o	65						o7	0	1	-2, -5, -8, 1		1	-2
17	17	0	0	2/4	4	1		#IV.viio2		Bb	#IV		viio2		vii	o	2						o7	0	0	-4, 5, 2, -1		5	-4
18	18	1/4	1/4	2/4	4	1		V2		Bb	#IV		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
18	18	15/32	15/32	2/4	4	1		vi64		Bb	#IV		vi64		vi		64						m	0	0	4, 3, 0		3	4
19	19	0	0	2/4	4	1		viio6		Bb	#IV		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
19	19	7/32	7/32	2/4	4	1		I		Bb	#IV		I		I								M	0	0	0, 4, 1		0	0
19	19	1/4	1/4	2/4	4	1		viio		Bb	#IV		viio		vii	o							o	0	0	5, 2, -1		5	5
20	20	0	0	2/4	4	1		viio]		Bb	#IV		viio		vii	o				]			o	0	0	5, 2, -1		5	5
21	21	0	0	2/4	4	1		#i.iv		Bb	#i		iv		iv								m	0	1	-1, -4, 0		-1	-1
21	21	1/4	1/4	2/4	4	1		V6		Bb	#i		V6		V		6						M	0	1	5, 2, 1		1	5
22	22	0	0	2/4	4	1		i		Bb	#i		i		i								m	0	1	0, -3, 1		0	0
22	22	1/4	1/4	2/4	4	1		#ii.V6/iv		Bb	#ii		V6/iv		V		6		iv				M	0	1	4, 1, 0		0	4
23	23	0	0	2/4	4	1		iv6		Bb	#ii		iv6		iv		6						m	0	1	-4, 0, -1		-1	-4
23	23	1/4	1/4	2/4	4	1		V		Bb	#ii		V		V								M	0	1	1, 5, 2		1	1
24	24	0	0	2/4	4	1		i6		Bb	#ii		i6		i		6						m	0	1	-3, 1, 0		0	-3
24	24	1/4	1/4	2/4	4	1		#III		Bb	#ii		#III		#III								M	0	1	4, 8, 5		4	4
25	25	0	0	2/4	4	1		bvii		Bb	#ii		bvii		bvii								m	0	1	-9, -12, -8		-9	-9
25	25	1/4	1/4	2/4	4	1		I6		Bb	#ii		I6		I		6						M	0	1	4, 1, 0		0	4
26	26	0	0	2/4	4	1		iv		Bb	#ii		iv		iv								m	0	1	-1, -4, 0		-1	-1
26	26	1/4	1/4	2/4	4	1		V6		Bb	#ii		V6		V		6						M	0	1	5, 2, 1		1	5
27	27	0	0	2/4	4	1		i6		Bb	#ii		i6		i		6						m	0	1	-3, 1, 0		0	-3
27	27	1/4	1/4	2/4	4	1		II6		Bb	#ii		II6		II		6						M	0	1	6, 3, 2		2	6
28	28	0	0	2/4	4	1		v		Bb	#ii		v		v								m	0	1	1, -2, 2		1	1
28	28	1/4	1/4	2/4	4	1		II		Bb	#ii		II		II								M	0	1	2, 6, 3		2	2
29	29	0	0	2/4	4	1		i.ii		Bb	i		ii		ii								m	0	1	2, -1, 3		2	2
29	29	1/4	1/4	2/4	4	1		#viio43		Bb	i		#viio43		#vii	o	43						o7	0	1	-1, -4, 5, 2		5	-1
30	30	0	0	2/4	4	1		i6		Bb	i		i6		i		6						m	0	1	-3, 1, 0		0	-3
30	30	1/4	1/4	2/4	4	1		#viio43/ii		Bb	i		#viio43/ii		#vii	o	43		ii				o7	0	1	1, -2, 7, 4		7	1
31	31	0	0	2/4	4	1		ii6		Bb	i		ii6		ii		6						m	0	1	-1, 3, 2		2	-1
31	31	1/4	1/4	2/4	4	1		#viio43/iii		Bb	i		#viio43/iii		#vii	o	43		iii				o7	0	1	-4, -7, 2, -1		2	-4
32	32	0	0	2/4	4	1		iii6		Bb	i		iii6		iii		6						m	0	1	-6, -2, -3		-3	-6
32	32	1/4	1/4	2/4	4	1		V65/vi		Bb	i		V65/vi		V		65		vi				Mm7	0	1	1, -2, -5, -3		-3	1
33	33	0	0	2/4	4	1		vi		Bb	i		vi		vi								m	0	1	-4, -7, -3		-4	-4
33	33	1/4	1/4	2/4	4	1		V6/iii		Bb	i		V6/iii		V		6		iii				M	0	1	2, -1, -2		-2	2
34	34	0	0	2/4	4	1		iii		Bb	i		iii		iii								m	0	1	-3, -6, -2		-3	-3
34	34	1/4	1/4	2/4	4	1		vii.V6		Bb	vii		V6		V		6						M	0	1	5, 2, 1		1	5
35	35	0	0	2/4	4	1		i		Bb	vii		i		i								m	0	1	0, -3, 1		0	0
35	35	1/4	1/4	2/4	4	1		bII6		Bb	vii		bII6		bII		6						M	0	1	-1, -4, -5		-5	-1
36	36	0	0	2/4	4	1		viio7(6)/V		Bb	vii		viio7(6)/V		vii	o	7	6	V				o7	0	1	6, 3, 2, -3		6	6
36	36	1/4	1/4	2/4	4	1		viio7/V		Bb	vii		viio7/V		vii	o	7		V				o7	0	1	6, 3, 0, -3		6	6
37	37	0	0	2/4	4	1		V(64)	i64	Bb	vii		V(64)		V			64					M	0	1	1, 0, -3		1	1
38	38	0	0	2/4	4	1		Ger6		Bb	vii		Ger6	Ger	vii	o	65	b3	V				Ger	0	1	-4, 0, -3, 6		6	-4
39	39	0	0	2/4	4	1		ii.vii7/V		Bb	ii		vii7/V		vii		7		V				mm7	0	1	6, 3, 7, 4		6	6
40	40	0	0	2/4	4	1		i64(2)		Bb	ii		i64(2)		i		64	2					m	0	1	1, 2, -3		0	1
40	40	1/4	1/4	2/4	4	1		i64		Bb	ii		i64		i		64						m	0	1	1, 0, -3		0	1
41	41	0	0	2/4	4	1		bV7(2)/V		Bb	ii		bV7(2)/V		bV		7	2	V				Mm7	0	1	4, -1, -4, -7		-5	4
41	41	1/4	1/4	2/4	4	1		bV7/V		Bb	ii		bV7/V		bV		7		V				Mm7	0	1	-5, -1, -4, -7		-5	-5
42	42	0	0	2/4	4	1		i.#viio7		Bb	i		#viio7		#vii	o	7						o7	0	1	5, 2, -1, -4		5	5
43	43	0	0	2/4	4	1		i		Bb	i		i		i								m	0	1	0, -3, 1		0	0
43	43	1/4	1/4	2/4	4	1		ii%65		Bb	i		ii%65		ii	%	65						%7	0	1	-1, -4, 0, 2		2	-1
43	43	3/8	3/8	2/4	4	1		ii%43		Bb	i		ii%43		ii	%	43						%7	0	1	-4, 0, 2, -1		2	-4
44	44	0	0	2/4	4	1		V(64)		Bb	i		V(64)		V			64					M	0	1	1, 0, -3		1	1
44	44	1/4	1/4	2/4	4	1		V\\		Bb	i		V		V							\\	M	0	1	1, 5, 2		1	1
46	45	0	0	3/8	4	1		I		Bb	i		I		I								M	0	1	0, 4, 1		0	0
46	45	1/8	1/8	3/8	4	1		I64		Bb	i		I64		I		64						M	0	1	1, 0, 4		0	1
47	46	0	0	3/8	4	1		V65		Bb	i		V65		V		65						Mm7	0	1	5, 2, -1, 1		1	5
47	46	1/8	1/8	3/8	4	1		V7		Bb	i		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
