mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	4	1		E.I	E	I		I	I							M	0	0	0, 4, 1		0	0
1	1	1/2	1/2	4/4	4	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
2	2	0	0	4/4	4	1		ii	E	I		ii	ii							m	0	0	2, -1, 3		2	2
2	2	1/2	1/2	4/4	4	1		vi	E	I		vi	vi							m	0	0	3, 0, 4		3	3
3	3	0	0	4/4	4	1		viio2	E	I		viio2	vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
3	3	1/2	1/2	4/4	4	1		I64	E	I		I64	I		64					M	0	0	1, 0, 4		0	1
3	3	3/4	3/4	4/4	4	1		ii6(4)	E	I		ii6(4)	ii		6	4				m	0	0	1, 3, 2		2	1
3	3	15/16	15/16	4/4	4	1		ii6	E	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	0	0	4/4	4	1		V(64)	E	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
4	4	1/2	1/2	4/4	4	1		V\\	E	I		V	V						\\	M	0	0	1, 5, 2		1	1
5	5	0	0	4/4	4	1		v6	E	I		v6	v		6					m	0	0	-2, 2, 1		1	-2
5	5	1/2	1/2	4/4	4	1		IV	E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	6	0	0	4/4	4	1		V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	1/2	1/2	4/4	4	1		V6/vi	E	I		V6/vi	V		6		vi			M	0	0	8, 5, 4		4	8
7	7	0	0	4/4	4	1		viio6/V	E	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
7	7	1/2	1/2	4/4	4	1		V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	0	0	4/4	4	1		I\\	E	I		I	I						\\	M	0	0	0, 4, 1		0	0
8	8	1/2	1/2	4/4	4	1		V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	3/4	3/4	4/4	4	1		V2	E	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
9	9	0	0	4/4	4	1		I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
9	9	1/2	1/2	4/4	4	1		viio6	E	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
10	10	0	0	4/4	4	1		viio64	E	I		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
10	10	1/2	1/2	4/4	4	1		vi64	E	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
11	11	0	0	4/4	4	1		#viio7(6)/vi	E	I		#viio7(6)/vi	#vii	o	7	6	vi			o7	0	0	8, 5, 4, -1		8	8
11	11	3/16	3/16	4/4	4	1		#viio7/vi	E	I		#viio7/vi	#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
11	11	1/4	1/4	4/4	4	1		viio7(4)	E	I		viio7(4)	vii	o	7	4				o7	0	0	5, 4, -1, -4		5	5
11	11	7/16	7/16	4/4	4	1		#viio7/vi	E	I		#viio7/vi	#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
11	11	1/2	1/2	4/4	4	1		vi	E	I		vi	vi							m	0	0	3, 0, 4		3	3
11	11	3/4	3/4	4/4	4	1		IV6(2)	E	I		IV6(2)	IV		6	2				M	0	0	3, 0, 1		-1	3
11	11	15/16	15/16	4/4	4	1		IV6	E	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
12	12	0	0	4/4	4	1		V(64)	E	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
12	12	1/2	1/2	4/4	4	1		V(+#7)	E	I		V(+#7)	V			+#7				M	0	0	1, 5, 2	6	1	1
12	12	3/4	3/4	4/4	4	1		V\\	E	I		V	V						\\	M	0	0	1, 5, 2		1	1
13	13	0	0	4/4	4	1		#viio/ii	E	I		#viio/ii	#vii	o			ii			o	0	0	7, 4, 1		7	7
13	13	1/2	1/2	4/4	4	1		ii	E	I		ii	ii							m	0	0	2, -1, 3		2	2
13	13	3/4	3/4	4/4	4	1		ii7	E	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
14	14	0	0	4/4	4	1		V65/vi	E	I		V65/vi	V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
14	14	1/4	1/4	4/4	4	1		V65(2)/vi	E	I		V65(2)/vi	V		65	2	vi			Mm7	0	0	8, 5, 2, -1		4	8
14	14	1/2	1/2	4/4	4	1		V6/vi	E	I		V6/vi	V		6		vi			M	0	0	8, 5, 4		4	8
15	15	0	0	4/4	4	1		vi	E	I		vi	vi							m	0	0	3, 0, 4		3	3
15	15	1/4	1/4	4/4	4	1		vi7	E	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
15	15	1/2	1/2	4/4	4	1		V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	16	0	0	4/4	4	1		I\\	E	I		I	I						\\	M	0	0	0, 4, 1		0	0
17	17	0	0	4/4	4	1		V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	18	0	0	4/4	4	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
18	18	1/2	1/2	4/4	4	1		I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
19	19	0	0	4/4	4	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
19	19	1/2	1/2	4/4	4	1		V65	E	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
20	20	0	0	4/4	4	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
20	20	1/2	1/2	4/4	4	1		vi6	E	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
21	21	0	0	4/4	4	1		V65/vi	E	I		V65/vi	V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
21	21	1/2	1/2	4/4	4	1		V7/vi	E	I		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
22	22	0	0	4/4	4	1		vi	E	I		vi	vi							m	0	0	3, 0, 4		3	3
22	22	1/2	1/2	4/4	4	1		i64	E	I		i64	i		64					m	0	0	1, 0, -3		0	1
23	23	0	0	4/4	4	1		V.V65	E	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
23	23	1/2	1/2	4/4	4	1		I	E	V		I	I							M	0	0	0, 4, 1		0	0
23	23	11/16	11/16	4/4	4	1		V7/V	E	V		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
24	24	0	0	4/4	4	1		V	E	V		V	V							M	0	0	1, 5, 2		1	1
24	24	1/2	1/2	4/4	4	1		V64	E	V		V64	V		64					M	0	0	2, 1, 5		1	2
24	24	3/4	3/4	4/4	4	1		V7(4)/V	E	V		V7(4)/V	V		7	4	V			Mm7	0	0	2, 1, 3, 0		2	2
25	25	0	0	4/4	4	1		V	E	V		V	V							M	0	0	1, 5, 2		1	1
25	25	1/2	1/2	4/4	4	1		i6	E	V		i6	i		6					m	0	0	-3, 1, 0		0	-3
25	25	3/4	3/4	4/4	4	1		viio65/V	E	V		viio65/V	vii	o	65		V			o7	0	0	3, 0, -3, 6		6	3
26	26	0	0	4/4	4	1		V	E	V		V	V							M	0	0	1, 5, 2		1	1
26	26	1/4	1/4	4/4	4	1		V7	E	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
26	26	1/2	1/2	4/4	4	1		V6	E	V		V6	V		6					M	0	0	5, 2, 1		1	5
