mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
31	29	5/8	5/8	3/4	4	1		V7(4)	Bb	I		V7(4)		V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
32	30	0	0	3/4	4	1		I[I	Bb	I	I	I		I							M	0	0	0, 4, 1		0	0
32	30	3/8	3/8	3/4	4	1		V7/IV	Bb	I	I	V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
32	30	5/8	5/8	3/4	4	1		I+	Bb	I	I	I+		I	+						+	0	0	0, 4, 8		0	0
33	31	1/8	1/8	3/4	4	1		IV	Bb	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
33	31	5/8	5/8	3/4	4	1		#iio	Bb	I	I	#iio		#ii	o						o	0	0	9, 6, 3		9	9
34	32	0	0	3/4	4	1		I(94)	Bb	I	I	I(94)		I			94				M	0	0	0, -1, 1	2	0	0
34	32	1/8	1/8	3/4	4	1		I	Bb	I	I	I		I							M	0	0	0, 4, 1		0	0
34	32	5/8	5/8	3/4	4	1		I]	Bb	I	I	I		I							M	0	0	0, 4, 1		0	0
35	33	0	0	3/4	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
36	34	0	0	3/4	4	1		I\\	Bb	I		I		I						\\	M	0	0	0, 4, 1		0	0
36	34	1/4	1/4	3/4	4	1		V2/IV	Bb	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
37	35	0	0	3/4	4	1		IV6(#2)	Bb	I		IV6(#2)		IV		6	#2				M	0	0	8, 0, -1		-1	8
37	35	1/8	1/8	3/4	4	1		IV6	Bb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
38	36	0	0	3/4	4	1		viio/V	Bb	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
38	36	5/8	5/8	3/4	4	1		#iio43	Bb	I		#iio43		#ii	o	43					o7	0	0	3, 0, 9, 6		9	3
39	37	1/8	1/8	3/4	4	1		I64	Bb	I		I64		I		64					M	0	0	1, 0, 4		0	1
39	37	3/8	3/8	3/4	4	1		#ivo6	Bb	I		#ivo6		#iv	o	6					o	0	0	3, 0, 6		6	3
39	37	1/2	1/2	3/4	4	1		#ivo	Bb	I		#ivo		#iv	o						o	0	0	6, 3, 0		6	6
40	38	0	0	3/4	4	1		#ivo	Bb	I		#ivo		#iv	o						o	0	0	6, 3, 0		6	6
40	38	1/4	1/4	3/4	4	1		I64	Bb	I		I64		I		64					M	0	0	1, 0, 4		0	1
40	38	3/8	3/8	3/4	4	1		#ivo	Bb	I		#ivo		#iv	o						o	0	0	6, 3, 0		6	6
40	38	5/8	5/8	3/4	4	1		#iio43	Bb	I		#iio43		#ii	o	43					o7	0	0	3, 0, 9, 6		9	3
41	39	1/8	1/8	3/4	4	1		I64	Bb	I		I64		I		64					M	0	0	1, 0, 4		0	1
41	39	3/8	3/8	3/4	4	1		#iio43	Bb	I		#iio43		#ii	o	43					o7	0	0	3, 0, 9, 6		9	3
41	39	5/8	5/8	3/4	4	1		I64	Bb	I		I64		I		64					M	0	0	1, 0, 4		0	1
42	40	1/8	1/8	3/4	4	1		#iio43	Bb	I		#iio43		#ii	o	43					o7	0	0	3, 0, 9, 6		9	3
42	40	3/8	3/8	3/4	4	1		I64	Bb	I		I64		I		64					M	0	0	1, 0, 4		0	1
42	40	5/8	5/8	3/4	4	1		#iio43	Bb	I		#iio43		#ii	o	43					o7	0	0	3, 0, 9, 6		9	3
43	41	1/8	1/8	3/4	4	1		I64	Bb	I		I64		I		64					M	0	0	1, 0, 4		0	1
43	41	3/8	3/8	3/4	4	1		V65/V	Bb	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
43	41	5/8	5/8	3/4	4	1		V2	Bb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
44	42	1/8	1/8	3/4	4	1		I6	Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
44	42	3/8	3/8	3/4	4	1		V65	Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
44	42	5/8	5/8	3/4	4	1		V2/IV	Bb	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
45	43	1/8	1/8	3/4	4	1		IV6	Bb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
45	43	3/8	3/8	3/4	4	1		V65/IV	Bb	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
45	43	1/2	1/2	3/4	4	1		IV(74)	Bb	I		IV(74)		IV			74				M	0	0	-1, 5, 0	4	-1	-1
45	43	5/8	5/8	3/4	4	1		IV	Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
46	44	0	0	3/4	4	1		V7(9)	Bb	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
46	44	1/8	1/8	3/4	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
46	44	1/4	1/4	3/4	4	1		bVI(9)	Bb	I		bVI(9)		bVI			9				M	0	0	-4, 0, -3	5	-4	-4
46	44	3/8	3/8	3/4	4	1		bVI	Bb	I		bVI		bVI							M	0	0	-4, 0, -3		-4	-4
46	44	1/2	1/2	3/4	4	1		Ger6	Bb	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-4, 0, -3, 6		6	-4
47	45	0	0	3/4	4	1		V(64)	Bb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
48	46	0	0	3/4	4	1		V7(4)	Bb	I		V7(4)		V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
48	46	1/8	1/8	3/4	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
49	47	0	0	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
50	48	0	0	3/4	4	1	1	I\\	Bb	I		I		I						\\	M	0	0	0, 4, 1		0	0
51	48	0	0	3/4	4	1	2	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
53	49	0	0	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
54	50	1/2	1/2	3/4	4	1		V65	Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
55	51	0	0	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
55	51	1/4	1/4	3/4	4	1		V65	Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
55	51	1/2	1/2	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
56	52	0	0	3/4	4	1		V	Bb	I		V		V							M	0	0	1, 5, 2		1	1
57	53	0	0	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
58	54	1/4	1/4	3/4	4	1		I6	Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
58	54	1/2	1/2	3/4	4	1		IV6	Bb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
59	55	0	0	3/4	4	1		I6	Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
59	55	1/4	1/4	3/4	4	1		IV	Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
59	55	1/2	1/2	3/4	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
60	56	0	0	3/4	4	1		I\\	Bb	I		I		I						\\	M	0	0	0, 4, 1		0	0
62	57	0	0	3/4	4	1		V7/ii	Bb	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
62	57	1/4	1/4	3/4	4	1		V65/ii	Bb	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
62	57	1/2	1/2	3/4	4	1		V7/ii	Bb	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
63	58	0	0	3/4	4	1		ii	Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
63	58	1/2	1/2	3/4	4	1		iii64	Bb	I		iii64		iii		64					m	0	0	5, 4, 1		4	5
64	59	0	0	3/4	4	1		V65	Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
64	59	1/2	1/2	3/4	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
65	60	0	0	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
65	60	1/4	1/4	3/4	4	1		I6	Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
65	60	1/2	1/2	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
67	62	0	0	3/4	4	1		V2/IV	Bb	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
67	62	1/2	1/2	3/4	4	1		IV6	Bb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
68	63	0	0	3/4	4	1		I6	Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
68	63	1/4	1/4	3/4	4	1		ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
68	63	1/2	1/2	3/4	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
69	64	0	0	3/4	4	1	1	I\\	Bb	I		I		I						\\	M	0	0	0, 4, 1		0	0
70	64	0	0	3/4	4	1	2	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
70	64	3/8	3/8	3/4	4	1	2	i	Bb	I		i		i							m	0	0	0, -3, 1		0	0
71	65	0	0	3/4	4	1		i(9)	Bb	I		i(9)		i			9				m	0	0	0, -3, 1	2	0	0
71	65	1/8	1/8	3/4	4	1		i	Bb	I		i		i							m	0	0	0, -3, 1		0	0
72	66	0	0	3/4	4	1		i(9)	Bb	I		i(9)		i			9				m	0	0	0, -3, 1	2	0	0
72	66	1/8	1/8	3/4	4	1		i	Bb	I		i		i							m	0	0	0, -3, 1		0	0
73	67	0	0	3/4	4	1		i(9)	Bb	I		i(9)		i			9				m	0	0	0, -3, 1	2	0	0
73	67	1/8	1/8	3/4	4	1		i	Bb	I		i		i							m	0	0	0, -3, 1		0	0
73	67	1/2	1/2	3/4	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
74	68	0	0	3/4	4	1		i\\	Bb	I		i		i						\\	m	0	0	0, -3, 1		0	0
